_id,ID,Garment Layer,Colour,Keywords
5e5ef81be44d412c544b30c5,36,true,black,"skinny jeans, lace up, side, panelled, tie up, dressy, night out, dinner, pub, urban, alternative, grunge, emo, eyelet"
5e5ef81be44d412c544b30bf,30,false,lavenderblush,"pink, holy, religious, crop top, casual, street, urban, patterned, rose, floral"
5e5ef81be44d412c544b30d9,56,true,darkorange,"adidas, orange, bright, vibrant, sports, sporty, casual, urban, street, striped sides, fitted, leggings, gym, gymwear, elastic waist, stretch fit"
5e5ef81be44d412c544b30bb,26,2,darkslategray,"teal, maroon, burgundy, zip up, autumn, winter, woollen, casual, warm, halfzip, high neck, chevron pattern, arrow, long sleeves, vintage, indie"
5e5ef81be44d412c544b30b7,22,false,thistle,"tshirt, pale, pastel, summer, top, hello kitty, striped, stripy, mermaid, graphic, casual, lounge, soft, cotton"
5e5ef81be44d412c544b30b6,21,4,peru,"large buttons, coat, tan, suede, vintage, boho, indie, bohemian, collared, pockets, outerwear, casual, uni"
5e5ef81be44d412c544b30d2,49,true,darkslateblue,"lined, blue, pockets, shorts, tie, high waist, thread detail, belt, summer, holiday"
5e5ef81be44d412c544b30af,14,8,paleturquioise,"see through, transparent, quirky, funky, iradescent, blue, bag, backpack, uni, summer, pastel, holidays, casual, alternative"
5e5ef81be44d412c544b30c9,40,true,darkslategray,"floral, patterned, trousers, paperbag waist, elasticated, polyester, summer, flowy, loose fitting, casual, holiday wear"
5e5ef81be44d412c544b30e1,64,false,yellow,"yellow, peach, print, tshirt, casual, cropped, crop, uni, everyday, feelin', graphic, shein, romwe"
5e5ef81be44d412c544b30a9,8,true,tan,"long, pink, summer, bohemian, loose fit, wide leg, nude, satin, summer, bright"
5e5ef81be44d412c544b30c1,32,false,black,"vest, cami, spaghetti straps, button up, lace, mesh, crop, occassion, nightclub, night out, dressy, applique"
5e5ef81be44d412c544b30a7,6,false,black,"casual, rock, band, metallica, grumge, emo, black, edgy, long fit, dark, white"
5e5ef81be44d412c544b30db,58,3,yellow,"checkered, tartan skirt, pleated, casual, dressy, night out, spring, summer, bright, vibrant, clueless, soft, knee lentgh"
5e5ef81be44d412c544b30b0,15,true,black,"white, leggings, tight fit, contrast, tape sides, sporty, casual, uni, sports, gym, gymwear, stretch fit, elasticated, elastic waist"
5e5ef81be44d412c544b30b8,23,false,lightslategray,"pale blue, pastel, top, tshirt, casual, street, urban, uni, everyday, patterned, graphic, orange, yin and yang, symbol, short sleeved, cotton, summer, spring"
